"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"Decrease","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","2","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"Decrease","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","1.69","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"Increase","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","1","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"Increase","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","0.85","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"No_change","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","115","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"No_change","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","97.46","Increased Customer Base Impact on Market","C3871","Additional RQ requested-not reflected on the TOR","count and percentage"
"Decrease","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","15","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"Decrease","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","15.31","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"No_change","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","83","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
"No_change","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","84.69","Increased Customer Base Impact on Market","C3947","Additional RQ requested-not reflected on the TOR","count and percentage"
