"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"a1_week","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","20","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"a1_week","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","16.95","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Between_1_and_2_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","45","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Between_1_and_2_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","38.14","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Between_2_and_3_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","33","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Between_2_and_3_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","27.97","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Between_3_and_4_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","20","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"Between_3_and_4_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","16.95","Supply chain conditions and barriers","C3871","RQ4","count and percentage"
"a1_week","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","22","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"a1_week","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","22.45","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"Between_1_and_2_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","40","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"Between_1_and_2_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","40.82","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"Between_2_and_3_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","24","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"Between_2_and_3_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","24.49","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"Between_3_and_4_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","5","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"Between_3_and_4_weeks","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","5.1","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"dont_know","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","counts","7","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
"dont_know","Q8_1_Considering_your_customers_current_demand_for_food_items_how_long_would_your_current_food_stocks_last","percentage","7.14","Supply chain conditions and barriers","C3947","RQ4","count and percentage"
